TIER,ID,Pokemon,Type 1,Type 2,Total,HP,Attack,Special Attack,Defense,Special Defense,Speed
F,#001,Rowlet,,,320,68,55,50,55,50,42
D,#002,Dartrix,,,420,78,75,70,75,70,52
A,#003,Hisuian Decidueye,Grass,Fighting,530,88,112,95,80,95,60
F,#004,Cyndaquil,,,309,39,52,60,43,50,65
D,#005,Quilava,,,405,58,64,80,58,65,80
A,#006,Hisuian Typhlosion,Fire,Ghost,534,73,84,119,78,85,95
F,#007,Oshawott,,,308,55,55,63,45,45,45
D,#008,Dewott,,,413,75,75,83,60,60,60
A,#009,Hisuian Samurott,Water,Dark,528,90,108,100,80,65,85
F,#010,Bidoof,,,250,59,45,35,40,40,31
D,#011,Bibarel,,,410,79,85,55,60,60,71
F,#012,Starly,,,245,40,55,30,30,30,60
E,#013,Staravia,,,340,55,75,40,50,40,80
C,#014,Staraptor,,,485,85,120,50,70,60,100
F,#015,Shinx,,,263,45,65,40,34,34,45
E,#016,Luxio,,,363,60,85,60,49,49,60
B,#017,Luxray,,,523,80,120,95,79,79,70
F,#018,Wurmple,,,195,45,45,20,35,30,20
F,#019,Silcoon,,,205,50,35,25,55,25,15
D,#020,Beautifly,,,395,60,70,100,50,50,65
F,#021,Cascoon,,,205,50,35,25,55,25,15
E,#022,Dustox,,,385,60,50,50,70,90,65
D,#023,Ponyta,,,410,50,85,65,55,65,90
B,#024,Rapidash,,,500,65,100,80,70,80,105
F,#025,Eevee,,,325,55,55,45,50,65,55
B,#026,Vaporeon,,,525,130,65,110,60,95,65
B,#027,Jolteon,,,525,65,65,110,60,95,130
B,#028,Flareon,,,525,65,130,95,60,110,65
B,#029,Espeon,,,525,65,65,130,60,95,110
B,#030,Umbreon,,,525,95,65,60,110,130,65
B,#031,Leafeon,,,525,65,110,60,130,65,95
B,#032,Glaceon,,,525,65,60,130,110,95,65
B,#033,Sylveon,,,525,95,65,110,65,130,60
F,#034,Zubat,,,245,40,45,30,35,40,55
C,#035,Golbat,,,455,75,80,65,70,75,90
A,#036,Crobat,,,535,85,90,70,80,80,130
E,#037,Drifloon,,,348,90,50,60,34,44,70
C,#038,Drifblim,,,498,150,80,90,44,54,80
F,#039,Kricketot,,,194,37,25,25,41,41,25
E,#040,Kricketune,,,384,77,85,55,51,51,65
F,#041,Buizel,,,330,55,65,60,35,30,85
C,#042,Floatzel,,,495,85,105,85,55,50,115
F,#043,Burmy,,,224,40,29,29,45,45,36
D,#044,Wormadam,,,424,60,59,79,85,105,36
D,#045,Mothim,,,424,70,94,94,50,50,66
F,#046,Geodude,,,300,40,80,30,100,30,20
E,#047,Graveler,,,390,55,95,45,115,45,35
C,#048,Golem,,,495,80,120,55,130,65,45
C,#049,Stantler,,,465,73,95,85,62,65,85
B,#050,Wyrdeer,Normal,Phsychic,525,103,105,105,72,75,65
E,#051,Munchlax,,,390,135,85,40,40,85,5
A,#052,Snorlax,,,540,160,110,65,65,110,30
